Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
AWK,AMERICAN WATER WORKS INC,Utilities,Equity,"6,948,608.66",0.04,"6,948,608.66","52,633.00",132.02,United States,New York Stock Exchange Inc.,USD,1.00,--
AWR,AMERICAN STATES WATER,Utilities,Equity,"861,260.40",0.01,"861,260.40","10,296.00",83.65,United States,New York Stock Exchange Inc.,USD,1.00,--
AX,AXOS FINANCIAL INC,Financials,Equity,"1,256,725.68",0.01,"1,256,725.68","15,596.00",80.58,United States,New York Stock Exchange Inc.,USD,1.00,--
AXGN,AXOGEN INC,Health Care,Equity,"138,017.96",0.00,"138,017.96","11,068.00",12.47,United States,NASDAQ,USD,1.00,--
AXL,AMERICAN AXLE AND MANUFACTURING HO,Consumer Discretionary,Equity,"190,999.92",0.00,"190,999.92","30,414.00",6.28,United States,New York Stock Exchange Inc.,USD,1.00,--
AXNX,AXONICS INC,Health Care,Equity,"917,274.54",0.01,"917,274.54","12,923.00",70.98,United States,NASDAQ,USD,1.00,--
AXON,AXON ENTERPRISE INC,Industrials,Equity,"11,791,942.80",0.08,"11,791,942.80","19,505.00",604.56,United States,NASDAQ,USD,1.00,--
AXP,AMERICAN EXPRESS,Financials,Equity,"43,657,845.60",0.28,"43,657,845.60","151,432.00",288.30,United States,New York Stock Exchange Inc.,USD,1.00,--
AXS,AXIS CAPITAL HOLDINGS LTD,Financials,Equity,"1,818,414.84",0.01,"1,818,414.84","21,373.00",85.08,United States,New York Stock Exchange Inc.,USD,1.00,--
AXSM,AXSOME THERAPEUTICS INC,Health Care,Equity,"979,834.31",0.01,"979,834.31","10,063.00",97.37,United States,NASDAQ,USD,1.00,--
AXTA,AXALTA COATING SYSTEMS LTD,Materials,Equity,"2,490,994.24",0.02,"2,490,994.24","61,264.00",40.66,United States,New York Stock Exchange Inc.,USD,1.00,--
AYI,ACUITY BRANDS INC,Industrials,Equity,"2,844,706.90",0.02,"2,844,706.90","8,630.00",329.63,United States,New York Stock Exchange Inc.,USD,1.00,--
AZEK,AZEK COMPANY INC CLASS A,Industrials,Equity,"1,869,324.52",0.01,"1,869,324.52","39,977.00",46.76,United States,New York Stock Exchange Inc.,USD,1.00,--
AZO,AUTOZONE INC,Consumer Discretionary,Equity,"14,482,325.08",0.09,"14,482,325.08","4,618.00","3,136.06",United States,New York Stock Exchange Inc.,USD,1.00,--
AZPN,ASPEN TECHNOLOGY INC,Information Technology,Equity,"1,908,384.00",0.01,"1,908,384.00","7,725.00",247.04,United States,NASDAQ,USD,1.00,--
AZTA,AZENTA INC,Health Care,Equity,"620,875.75",0.00,"620,875.75","14,566.00",42.63,United States,NASDAQ,USD,1.00,--
AZZ,AZZ INC,Industrials,Equity,"569,541.02",0.00,"569,541.02","6,794.00",83.83,United States,New York Stock Exchange Inc.,USD,1.00,--
B,BARNES GROUP INC,Industrials,Equity,"583,966.80",0.00,"583,966.80","12,510.00",46.68,United States,New York Stock Exchange Inc.,USD,1.00,--
BA,BOEING,Industrials,Equity,"25,667,378.98",0.16,"25,667,378.98","185,807.00",138.14,United States,New York Stock Exchange Inc.,USD,1.00,--
BAC,BANK OF AMERICA CORP,Financials,Equity,"84,272,950.80",0.54,"84,272,950.80","1,836,012.00",45.90,United States,New York Stock Exchange Inc.,USD,1.00,--
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials,Equity,"5,364,042.71",0.03,"5,364,042.71","34,703.00",154.57,United States,New York Stock Exchange Inc.,USD,1.00,--
BALL,BALL CORP,Materials,Equity,"5,167,158.68",0.03,"5,167,158.68","83,422.00",61.94,United States,New York Stock Exchange Inc.,USD,1.00,--
BALY,BALLY S CORP,Consumer Discretionary,Equity,"147,447.60",0.00,"147,447.60","8,265.00",17.84,United States,New York Stock Exchange Inc.,USD,1.00,--
BANC,BANC OF CALIFORNIA INC,Financials,Equity,"556,856.90",0.00,"556,856.90","34,163.00",16.30,United States,New York Stock Exchange Inc.,USD,1.00,--
BAND,BANDWIDTH INC CLASS A,Communication,Equity,"161,768.53",0.00,"161,768.53","8,591.00",18.83,United States,NASDAQ,USD,1.00,--
BANF,BANCFIRST CORP,Financials,Equity,"740,593.00",0.00,"740,593.00","6,025.00",122.92,United States,NASDAQ,USD,1.00,--
BANR,BANNER CORP,Financials,Equity,"714,426.12",0.00,"714,426.12","9,732.00",73.41,United States,NASDAQ,USD,1.00,--
BASE,COUCHBASE INC,Information Technology,Equity,"182,305.90",0.00,"182,305.90","9,505.00",19.18,United States,NASDAQ,USD,1.00,--
BATRA,ATLANTA BRAVES HOLDINGS INC SERIES,Communication,Equity,"136,031.70",0.00,"136,031.70","3,165.00",42.98,United States,NASDAQ,USD,1.00,--
BATRK,ATLANTA BRAVES HOLDINGS INC SERIES,Communication,Equity,"556,426.44",0.00,"556,426.44","13,578.00",40.98,United States,NASDAQ,USD,1.00,--
BAX,BAXTER INTERNATIONAL INC,Health Care,Equity,"4,356,626.10",0.03,"4,356,626.10","137,433.00",31.70,United States,New York Stock Exchange Inc.,USD,1.00,--
BBIO,BRIDGEBIO PHARMA INC,Health Care,Equity,"931,441.63",0.01,"931,441.63","38,633.00",24.11,United States,NASDAQ,USD,1.00,--
BBSI,BARRETT BUSINESS SERVICES INC,Industrials,Equity,"294,808.40",0.00,"294,808.40","7,036.00",41.90,United States,NASDAQ,USD,1.00,--
